epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1638.26,0.44713,0.42296,1.15543,0.0146,0.99572,1,0.995,0.94378,0.33652,0.2766,1.09875,0.0082,0.000451066,0.000451066,0.000451066
38,1680.36,0.45175,0.41282,1.17646,0.01801,0.99641,0.99945,0.995,0.94594,0.35169,0.28084,1.08459,0.01319,0.000432734,0.000432734,0.000432734
39,1721.2,0.4475,0.41431,1.15961,0.01496,0.99689,0.99762,0.99498,0.95236,0.32235,0.26832,1.10611,0.02103,0.000414403,0.000414403,0.000414403
40,1764.24,0.44683,0.41538,1.13858,0.0201,0.99703,1,0.995,0.95239,0.327,0.27319,1.09115,0.0141,0.000396071,0.000396071,0.000396071
41,1807.3,0.44131,0.40738,1.14049,0.01719,0.99555,1,0.99495,0.95401,0.32698,0.268,1.11907,0.01117,0.00037774,0.00037774,0.00037774
42,1849.49,0.43731,0.40036,1.1433,0.01617,0.99806,0.99947,0.995,0.95213,0.33123,0.27148,1.07627,0.01485,0.000359409,0.000359409,0.000359409
43,1893.03,0.42211,0.38965,1.11318,0.016,0.99816,0.99715,0.99498,0.95328,0.32401,0.25991,1.06937,0.01192,0.000341077,0.000341077,0.000341077
44,1933.48,0.4266,0.39047,1.13717,0.01622,0.99812,0.99762,0.99498,0.95375,0.31834,0.25683,1.08282,0.01525,0.000322745,0.000322745,0.000322745
45,1977.19,0.42529,0.38747,1.12876,0.01405,0.99901,0.99982,0.995,0.96099,0.30113,0.25683,1.08981,0.01386,0.000304414,0.000304414,0.000304414
46,2020.17,0.42314,0.39464,1.13355,0.01327,0.9977,0.99984,0.995,0.95742,0.30238,0.25422,1.06969,0.00828,0.000286083,0.000286083,0.000286083
47,2062.36,0.42033,0.39988,1.11186,0.01404,0.99843,1,0.995,0.95902,0.30846,0.25986,1.05225,0.01063,0.000267751,0.000267751,0.000267751
48,2105.2,0.40891,0.38587,1.09607,0.01298,0.99811,1,0.995,0.95995,0.30251,0.25685,1.09425,0.00775,0.00024942,0.00024942,0.00024942
49,2146.39,0.40791,0.38575,1.11599,0.01271,0.99888,1,0.995,0.96221,0.30149,0.25541,1.03672,0.01179,0.000231088,0.000231088,0.000231088
50,2190.21,0.40246,0.37899,1.10704,0.01322,0.99612,1,0.99498,0.95971,0.29499,0.24695,1.07738,0.00848,0.000212757,0.000212757,0.000212757
51,2234.02,0.32233,0.27933,1.08579,0.01215,0.99807,1,0.995,0.95342,0.30766,0.25255,1.07147,0.00927,0.000194425,0.000194425,0.000194425
52,2272.58,0.31863,0.2732,1.07535,0.00984,0.99653,1,0.99495,0.96083,0.30028,0.25251,1.04659,0.00981,0.000176094,0.000176094,0.000176094
53,2307.93,0.30213,0.26639,1.05613,0.00999,0.99823,1,0.995,0.96085,0.29087,0.24428,1.04203,0.00925,0.000157762,0.000157762,0.000157762
54,2345.66,0.30026,0.26619,1.04282,0.01022,0.99817,1,0.995,0.96239,0.28404,0.23858,1.02125,0.00798,0.000139431,0.000139431,0.000139431
55,2382.23,0.30364,0.26909,1.05099,0.01074,0.99768,1,0.995,0.95649,0.29219,0.24221,1.04822,0.00754,0.000121099,0.000121099,0.000121099
56,2418.66,0.29573,0.26166,1.03249,0.00932,0.99821,1,0.995,0.96631,0.27637,0.23608,1.01966,0.00721,0.000102768,0.000102768,0.000102768
57,2456.53,0.29143,0.25994,1.02936,0.00857,0.99815,1,0.995,0.96408,0.27898,0.23661,0.99833,0.0061,8.4436e-05,8.4436e-05,8.4436e-05
58,2493.28,0.28768,0.25816,1.02423,0.00715,0.99857,0.99996,0.995,0.96451,0.27897,0.23816,0.98473,0.00978,6.61045e-05,6.61045e-05,6.61045e-05
59,2531.12,0.28207,0.25465,1.00995,0.00796,0.99847,1,0.995,0.96557,0.27668,0.23629,0.99531,0.00981,4.7773e-05,4.7773e-05,4.7773e-05
60,2566.56,0.27979,0.25243,1.01928,0.00777,0.99855,1,0.995,0.96592,0.2763,0.23639,1.00299,0.00985,2.94415e-05,2.94415e-05,2.94415e-05
